Start,Destination,Via Road,Distance (km),Signals,Congestion Count,Waterlogging Count,Congestion Points,Waterlogging Points,Route Type,Time (Car),Time (Bike),Time (Cycle),Time (Bus),Expense (Car),Expense (Bike),Expense (Cycle),Expense (Bus),Pollution (Car),Pollution (Bike),Pollution (Cycle),Pollution (Bus),Total Time
"Pitampura, Delhi","Janakpuri, Delhi",Outer Ring Road,8.01,7,1,2,NH-48 Gurugram Border,"Choudhary Fateh Singh Marg, Dwarka Link Road",Main Road,32.02,26.62,51.55,28.52,73.39,39.52,0.08,14.0,202.86,111.26,0.15,149.02,33.534
"Pitampura, Delhi","Janakpuri, Delhi",Rohtak Road,41.32,10,1,1,NH-48 Gurugram Border,Akbar Road,Main Road,98.51,75.85,186.15,89.47,306.33,170.5,0.41,19.97,719.01,455.53,-0.04,548.18,30.754666666666665
"Pitampura, Delhi","Janakpuri, Delhi",DND Flyway,39.01,5,4,1,"MB Road (Saket Metro to Khanpur), Captain Gaud Marg, Yusuf Sarai Market, Kashmiri Gate Ring Road",Mathura Road,Main Road,101.42,80.92,181.94,94.64,287.17,164.78,0.39,15.52,683.16,432.38,0.23,518.58,39.60066666666667
"Pitampura, Delhi","Janakpuri, Delhi",Mathura Road,19.25,8,4,3,"Adchini Village, Britannia Chowk, Mukraba to Madhuban Chowk, Peera Garhi Chowk","Dwarka Link Road, GT Road, Ring Road",Highway,70.44,59.22,112.94,65.09,153.56,90.4,0.19,21.25,350.33,249.04,0.47,285.76,48.28333333333333
"Daryaganj, Delhi","Tughlaqabad, Delhi",DND Flyway,13.11,10,2,1,"Lala Lajpat Rai Marg near CGO Complex, Kalindi Kunj Road",Ring Road,Main Road,45.89,37.34,77.11,40.58,107.27,58.61,0.13,8.21,269.91,185.71,-0.45,199.86,31.874
"Daryaganj, Delhi","Tughlaqabad, Delhi",NH48,14.66,10,2,3,"Kalindi Kunj Road, Captain Gaud Marg","Tilak Marg, GT Road, Outer Ring Road",Highway,55.25,45.92,89.57,49.49,115.88,69.72,0.15,14.2,279.66,206.53,-0.08,248.11,41.977333333333334
"Daryaganj, Delhi","Tughlaqabad, Delhi",Mathura Road,25.64,5,3,2,"Rohini West Metro Station, Ashram Chowk, Under IIT Flyover","Tilak Marg, Najafgarh Road",Main Road,73.53,59.72,127.31,68.58,199.16,112.74,0.26,18.53,456.14,316.67,-0.07,358.13,40.70933333333333
"Daryaganj, Delhi","Tughlaqabad, Delhi",NH48,37.54,9,1,1,Dwarka Link Road,Choudhary Fateh Singh Marg,Internal Road,89.97,69.4,169.54,81.89,278.65,164.36,0.38,30.47,661.64,444.37,-0.07,524.56,30.502666666666666
"Daryaganj, Delhi","Tughlaqabad, Delhi",NH48,38.42,8,4,2,"Kashmiri Gate Ring Road, Under IIT Flyover, Captain Gaud Marg, Peera Garhi Chowk","Ashoka Road, Dwarka Link Road",Main Road,105.71,84.9,186.55,98.04,286.14,164.43,0.38,15.72,648.04,451.23,-0.27,519.96,44.56133333333334
"Kashmere Gate, Delhi","Saket, Delhi",Rohtak Road,14.15,12,1,3,Captain Gaud Marg,"SSN Marg, Shankar Road, Akbar Road",Highway,52.0,42.52,86.3,45.53,109.19,63.76,0.14,12.01,273.91,178.04,0.45,241.91,38.943333333333335
"Kashmere Gate, Delhi","Saket, Delhi",Outer Ring Road,12.66,9,2,2,"Dwarka Link Road, Rohini West Metro Station","Outer Ring Road, Najafgarh Road",Main Road,47.27,39.14,77.09,42.24,105.77,57.37,0.13,7.71,282.83,165.76,-0.2,199.6,36.844
"Kashmere Gate, Delhi","Saket, Delhi",Rohtak Road,9.88,9,1,1,Yusuf Sarai Market,Dwarka Link Road,Highway,34.68,27.94,58.94,30.03,80.66,52.87,0.1,10.65,232.68,155.83,-0.26,185.95,28.658666666666665
"Kashmere Gate, Delhi","Saket, Delhi",Mathura Road,46.89,8,4,1,"Adchini Village, Azadpur Flyover, NH-48 Gurugram Border, Yusuf Sarai Market",Tilak Marg,Highway,119.59,94.55,217.37,110.92,340.15,195.35,0.47,17.76,791.44,536.14,0.35,632.52,40.126000000000005
"Kashmere Gate, Delhi","Saket, Delhi",Outer Ring Road,35.08,5,2,1,"Lala Lajpat Rai Marg near CGO Complex, Kalindi Kunj Road",Choudhary Fateh Singh Marg,Internal Road,85.39,66.85,158.05,79.27,259.42,154.95,0.35,30.37,577.12,410.32,-0.34,493.5,33.33866666666667
"Govindpuri, Delhi","Seelampur, Delhi",Mehrauli-Gurgaon Road,46.06,9,2,1,"NH-48 Gurugram Border, Britannia Chowk",Ring Road,Internal Road,110.7,85.87,207.32,101.86,339.72,195.16,0.46,21.16,742.94,503.52,0.11,598.91,34.07066666666667
"Govindpuri, Delhi","Seelampur, Delhi",Vikas Marg,26.59,11,4,3,"Rohini West Metro Station, Barapullah Flyover, MB Road (Saket Metro to Khanpur), NH-48 Gurugram Border","Aurobindo Marg, SSN Marg, Shankar Road",Highway,88.13,72.63,146.81,80.36,200.76,114.97,0.27,15.59,474.08,312.67,-0.1,388.85,48.772666666666666
"Govindpuri, Delhi","Seelampur, Delhi",Najafgarh Road,13.7,10,3,1,"Lala Lajpat Rai Marg near CGO Complex, Rohini West Metro Station, Captain Gaud Marg",Outer Ring Road,Internal Road,51.2,42.35,83.6,45.69,115.25,60.38,0.14,19.08,263.42,204.54,0.26,206.71,34.913333333333334
"Govindpuri, Delhi","Seelampur, Delhi",Rohtak Road,27.81,12,4,2,"Britannia Chowk, Adchini Village, Kalindi Kunj Road, Kashmiri Gate Ring Road","Mathura Road, Tilak Marg",Highway,88.1,71.8,149.72,80.14,211.36,117.5,0.28,13.66,504.0,339.7,-0.37,383.66,43.854
"Netaji Subhash Place, Delhi","Jahangirpuri, Delhi",NH44,17.05,10,3,1,"Adchini Village, Lala Lajpat Rai Marg near CGO Complex, Barapullah Flyover",Africa Avenue Road,Internal Road,57.66,47.13,96.75,51.97,137.05,76.57,0.17,12.79,307.32,234.04,0.34,275.3,35.13666666666667
"Netaji Subhash Place, Delhi","Jahangirpuri, Delhi",Najafgarh Road,24.97,5,4,3,"Azadpur Flyover, Captain Gaud Marg, Mukraba to Madhuban Chowk, MB Road (Saket Metro to Khanpur)","Akbar Road, Shankar Road, Outer Ring Road",Highway,79.16,65.67,131.6,74.32,191.68,112.75,0.25,28.89,445.04,318.26,0.48,374.41,48.66466666666666
"Netaji Subhash Place, Delhi","Jahangirpuri, Delhi",Outer Ring Road,44.55,11,2,3,"Lala Lajpat Rai Marg near CGO Complex, Dwarka Link Road","Anuvrat Marg, GT Road, Mathura Road",Internal Road,115.84,91.37,210.44,106.03,329.92,192.46,0.45,31.18,750.03,504.88,-0.37,582.25,43.97
"Netaji Subhash Place, Delhi","Jahangirpuri, Delhi",Najafgarh Road,17.1,12,1,3,Lala Lajpat Rai Marg near CGO Complex,"Boulevard Road, Ring Road, GT Road",Highway,57.77,46.82,97.97,51.06,131.07,82.02,0.17,28.4,349.57,205.06,0.03,250.16,39.14
"Connaught Place, Delhi","Noida, Delhi",NH48,32.52,11,1,1,Yusuf Sarai Market,Aurobindo Marg,Main Road,82.07,63.61,152.61,73.48,241.51,139.37,0.33,16.61,574.99,375.95,0.48,455.13,30.168
"Connaught Place, Delhi","Noida, Delhi",Najafgarh Road,47.99,11,3,1,"Rohini West Metro Station, MB Road (Saket Metro to Khanpur), Azadpur Flyover",Akbar Road,Internal Road,121.06,94.86,222.54,110.48,355.01,206.94,0.48,28.33,790.46,547.96,0.06,641.46,37.199333333333335
"Connaught Place, Delhi","Noida, Delhi",Najafgarh Road,20.51,7,1,1,Britannia Chowk,Shankar Road,Highway,54.12,42.47,98.64,48.96,155.69,96.73,0.21,26.19,386.81,246.15,-0.37,300.2,29.367333333333335
"Connaught Place, Delhi","Noida, Delhi",DND Flyway,40.2,8,2,2,"Barapullah Flyover, Ashram Chowk","Kanjhawala Road, Africa Avenue Road",Internal Road,101.48,79.78,185.88,93.38,296.65,171.56,0.4,17.85,663.64,454.84,-0.44,546.33,38.68
"Connaught Place, Delhi","Noida, Delhi",Najafgarh Road,13.46,10,4,3,"Ashram Chowk, MB Road (Saket Metro to Khanpur), Barapullah Flyover, Adchini Village","Boulevard Road, Kanjhawala Road, Tilak Marg",Main Road,60.48,51.75,92.4,55.24,107.12,60.85,0.13,8.89,252.7,194.26,0.45,238.53,47.897333333333336
"Connaught Place, Delhi","Noida, Delhi",Barapullah Corridor,5.8,10,1,1,Lala Lajpat Rai Marg near CGO Complex,Ashoka Road,Main Road,27.29,22.39,43.89,22.88,53.15,28.34,0.06,24.08,185.85,89.47,0.13,112.48,28.386666666666667
"Connaught Place, Delhi","Noida, Delhi",Vikas Marg,9.52,12,4,3,"NH-48 Gurugram Border, Lala Lajpat Rai Marg near CGO Complex, Captain Gaud Marg, Barapullah Flyover","GT Road, Kanjhawala Road, Ashoka Road",Internal Road,54.45,47.28,79.48,48.85,82.81,52.25,0.1,18.08,222.75,163.96,0.15,174.56,47.63466666666667
"Connaught Place, Delhi","Noida, Delhi",Mathura Road,7.44,5,3,2,"Peera Garhi Chowk, Azadpur Flyover, NH-48 Gurugram Border","Najafgarh Road, SSN Marg",Highway,37.25,32.52,54.62,34.45,63.63,43.84,0.07,7.77,191.29,139.96,-0.44,159.88,39.495999999999995
"Connaught Place, Delhi","Noida, Delhi",Barapullah Corridor,10.95,12,2,3,"Rohini West Metro Station, NH-48 Gurugram Border","Mathura Road, Shankar Road, Africa Avenue Road",Highway,49.71,41.84,77.61,43.53,89.82,56.35,0.11,18.41,226.84,140.33,0.28,200.22,41.730000000000004
"Ashok Vihar, Delhi","Khan Market, Delhi",Outer Ring Road,38.62,12,4,2,"Adchini Village, Britannia Chowk, Yusuf Sarai Market, Ashram Chowk","Ashoka Road, Aurobindo Marg",Highway,109.3,87.59,192.54,100.41,280.75,166.38,0.39,30.81,673.99,442.59,0.46,530.87,44.574666666666666
"Ashok Vihar, Delhi","Khan Market, Delhi",NH44,7.02,7,4,3,"Azadpur Flyover, Under IIT Flyover, Captain Gaud Marg, Peera Garhi Chowk","Choudhary Fateh Singh Marg, Najafgarh Road, Boulevard Road",Highway,45.21,40.3,62.75,41.66,67.08,34.88,0.07,17.27,192.88,100.58,0.03,133.1,47.468
"Ashok Vihar, Delhi","Khan Market, Delhi",NH48,43.57,9,4,2,"Rohini West Metro Station, NH-48 Gurugram Border, Lala Lajpat Rai Marg near CGO Complex, Captain Gaud Marg","Dwarka Link Road, Mathura Road",Main Road,116.92,93.33,208.56,108.19,318.67,188.34,0.44,16.41,731.77,495.53,-0.4,579.62,44.90466666666667
"Ashok Vihar, Delhi","Khan Market, Delhi",DND Flyway,15.9,12,2,2,"Adchini Village, Lala Lajpat Rai Marg near CGO Complex","Tilak Marg, Kanjhawala Road",Main Road,56.27,45.93,94.08,49.81,129.66,77.24,0.16,11.71,320.13,199.19,0.47,266.81,37.06
"Pitampura, Delhi","Janakpuri, Delhi",Barapullah Corridor,25.57,11,2,3,"Dwarka Link Road, Britannia Chowk","Boulevard Road, Ashoka Road, SSN Marg",Highway,77.75,62.76,134.38,70.44,193.85,116.27,0.26,18.51,445.61,307.13,-0.24,378.98,42.70466666666667
"Pitampura, Delhi","Janakpuri, Delhi",Rohtak Road,42.61,7,4,2,"Barapullah Flyover, Captain Gaud Marg, Peera Garhi Chowk, Dwarka Link Road","Ring Road, Akbar Road",Highway,113.34,90.63,202.06,105.39,313.16,182.33,0.43,28.33,714.59,487.83,-0.32,573.28,44.840666666666664
"Pitampura, Delhi","Janakpuri, Delhi",Barapullah Corridor,9.23,8,4,1,"Yusuf Sarai Market, Rohini West Metro Station, Kalindi Kunj Road, MB Road (Saket Metro to Khanpur)",Aurobindo Marg,Internal Road,44.7,38.48,67.16,40.31,78.17,42.52,0.09,12.54,218.85,157.71,0.02,152.11,37.61533333333333
"Pitampura, Delhi","Janakpuri, Delhi",Najafgarh Road,8.27,5,3,1,"Barapullah Flyover, Kalindi Kunj Road, Kashmiri Gate Ring Road",SSN Marg,Highway,35.79,30.66,54.83,33.01,69.71,47.06,0.08,23.74,203.4,131.06,-0.34,160.53,34.55133333333333
"South Extension, Delhi","Bhikaji Cama Place, Delhi",NH44,24.82,6,4,3,"Barapullah Flyover, Rohini West Metro Station, Mukraba to Madhuban Chowk, Azadpur Flyover","Outer Ring Road, Kanjhawala Road, Dwarka Link Road",Highway,79.95,66.34,132.59,74.54,184.95,106.74,0.25,10.86,467.09,288.24,-0.5,344.1,48.65466666666667
"South Extension, Delhi","Bhikaji Cama Place, Delhi",Outer Ring Road,6.79,5,3,3,"Under IIT Flyover, Rohini West Metro Station, Kashmiri Gate Ring Road","Boulevard Road, Shankar Road, Mathura Road",Main Road,38.95,34.56,55.03,36.23,63.13,32.28,0.07,12.55,169.08,105.48,-0.25,124.06,44.452666666666666
"South Extension, Delhi","Bhikaji Cama Place, Delhi",Rohtak Road,45.4,12,3,3,"Yusuf Sarai Market, Rohini West Metro Station, Kalindi Kunj Road","Shankar Road, Ring Road, Tilak Marg",Highway,122.36,97.26,219.16,112.12,332.86,194.85,0.45,22.79,743.45,512.53,0.07,623.14,47.02666666666667
"South Extension, Delhi","Bhikaji Cama Place, Delhi",Rohtak Road,20.07,5,3,1,"Lala Lajpat Rai Marg near CGO Complex, Ashram Chowk, Kashmiri Gate Ring Road",Africa Avenue Road,Main Road,59.19,48.15,101.83,55.13,156.73,87.85,0.2,17.94,372.01,250.33,-0.41,313.81,35.338
"South Extension, Delhi","Bhikaji Cama Place, Delhi",DND Flyway,19.22,6,2,1,"Britannia Chowk, NH-48 Gurugram Border",Ring Road,Internal Road,54.7,43.89,96.14,50.04,148.33,88.74,0.19,13.15,385.59,250.26,0.19,274.15,32.281333333333336
"Pitampura, Delhi","Janakpuri, Delhi",Mehrauli-Gurgaon Road,7.01,5,3,3,"Rohini West Metro Station, Dwarka Link Road, Lala Lajpat Rai Marg near CGO Complex","Akbar Road, Tilak Marg, Anuvrat Marg",Internal Road,39.27,34.76,55.78,36.64,59.65,40.87,0.07,16.87,184.75,130.07,-0.07,139.94,44.46733333333333
"Pitampura, Delhi","Janakpuri, Delhi",Barapullah Corridor,39.62,5,2,3,"Under IIT Flyover, Kalindi Kunj Road","Ashoka Road, SSN Marg, Tilak Marg",Main Road,100.5,79.69,182.24,93.79,291.55,171.96,0.4,29.64,691.92,434.23,0.18,543.38,43.641333333333336
"Pitampura, Delhi","Janakpuri, Delhi",Barapullah Corridor,33.85,7,1,1,Kalindi Kunj Road,Africa Avenue Road,Main Road,81.01,62.69,152.21,73.97,249.47,141.44,0.34,23.87,560.72,386.02,0.34,482.18,30.256666666666668
"Pitampura, Delhi","Janakpuri, Delhi",Najafgarh Road,17.9,6,2,1,"Kalindi Kunj Road, Kashmiri Gate Ring Road",Shankar Road,Highway,52.07,41.92,90.87,47.56,136.48,80.6,0.18,18.48,337.34,240.81,0.12,256.7,32.19333333333333
"Laxmi Nagar, Delhi","Dwarka, Delhi",Outer Ring Road,15.68,10,2,3,"Kalindi Kunj Road, Barapullah Flyover","GT Road, Africa Avenue Road, Aurobindo Marg",Highway,57.12,47.28,93.48,51.4,122.59,76.6,0.16,13.69,288.9,205.98,0.06,250.12,42.04533333333333
"Laxmi Nagar, Delhi","Dwarka, Delhi",NH44,7.82,9,2,1,"Under IIT Flyover, Mukraba to Madhuban Chowk",Tilak Marg,Highway,34.59,28.88,54.73,30.16,74.4,37.55,0.08,8.38,186.02,148.07,-0.48,143.76,31.521333333333335
"Laxmi Nagar, Delhi","Dwarka, Delhi",Mathura Road,27.7,5,2,3,"Yusuf Sarai Market, Ashram Chowk","Africa Avenue Road, Outer Ring Road, Shankar Road",Main Road,76.44,61.58,134.33,71.44,209.74,118.95,0.28,24.96,499.38,332.88,0.37,383.22,42.846666666666664
"Laxmi Nagar, Delhi","Dwarka, Delhi",Mehrauli-Gurgaon Road,42.47,8,2,2,"Rohini West Metro Station, Ashram Chowk","Anuvrat Marg, Ring Road",Internal Road,106.05,83.22,195.0,97.63,315.01,180.62,0.42,14.94,708.46,490.78,0.15,576.77,38.83133333333333
"Laxmi Nagar, Delhi","Dwarka, Delhi",NH44,23.93,7,3,3,"Adchini Village, Mukraba to Madhuban Chowk, Yusuf Sarai Market","Shankar Road, Ring Road, Tilak Marg",Internal Road,74.68,61.31,126.04,69.37,178.5,106.59,0.24,24.28,431.52,288.63,0.27,329.04,45.59533333333333
"Kashmere Gate, Delhi","Saket, Delhi",Mehrauli-Gurgaon Road,33.33,6,4,1,"Azadpur Flyover, Under IIT Flyover, Britannia Chowk, Adchini Village",Shankar Road,Highway,90.94,73.08,160.6,84.49,246.88,144.98,0.33,25.34,597.26,364.41,0.3,451.88,39.222
"Kashmere Gate, Delhi","Saket, Delhi",Vikas Marg,16.96,8,2,2,"Azadpur Flyover, Kalindi Kunj Road","Akbar Road, Ring Road",Main Road,54.69,44.61,92.61,49.8,136.33,76.8,0.17,27.47,346.72,239.55,-0.44,265.75,37.13066666666667
"Kashmere Gate, Delhi","Saket, Delhi",Barapullah Corridor,19.84,12,2,1,"NH-48 Gurugram Border, Dwarka Link Road",Kanjhawala Road,Highway,60.44,48.12,106.11,54.2,151.9,88.79,0.2,26.45,374.54,264.03,-0.45,316.64,32.32266666666666
"Kashmere Gate, Delhi","Saket, Delhi",NH48,25.85,10,4,3,"Mukraba to Madhuban Chowk, NH-48 Gurugram Border, Under IIT Flyover, Ashram Chowk","Anuvrat Marg, Choudhary Fateh Singh Marg, Najafgarh Road",Highway,85.38,70.45,142.07,78.47,196.47,117.83,0.26,27.14,446.95,304.61,-0.26,373.27,48.72333333333333
"Kashmere Gate, Delhi","Saket, Delhi",Barapullah Corridor,5.15,8,4,1,"Under IIT Flyover, Britannia Chowk, Kashmiri Gate Ring Road, Adchini Village",Tilak Marg,Highway,36.25,32.07,50.55,32.66,53.34,28.28,0.05,22.78,159.31,113.75,0.42,128.4,37.343333333333334
"Kashmere Gate, Delhi","Saket, Delhi",Vikas Marg,44.77,10,1,1,Ashram Chowk,Dwarka Link Road,Highway,105.37,80.98,199.91,95.94,329.88,190.31,0.45,14.9,722.13,505.86,0.47,615.75,30.984666666666666
"Kashmere Gate, Delhi","Saket, Delhi",DND Flyway,30.84,12,2,2,"Peera Garhi Chowk, Barapullah Flyover","Mathura Road, Najafgarh Road",Main Road,86.35,68.53,154.03,77.83,229.37,135.96,0.31,21.31,520.21,355.51,-0.22,443.13,38.056
"Kashmere Gate, Delhi","Saket, Delhi",Mehrauli-Gurgaon Road,26.55,8,1,3,Under IIT Flyover,"Mathura Road, Africa Avenue Road, Akbar Road",Highway,73.42,58.55,130.52,66.78,202.73,114.94,0.27,19.28,484.66,314.27,-0.26,381.37,39.769999999999996
"Kashmere Gate, Delhi","Saket, Delhi",Mehrauli-Gurgaon Road,37.35,7,2,2,"Britannia Chowk, NH-48 Gurugram Border","Anuvrat Marg, Ashoka Road",Main Road,94.72,74.64,172.91,87.53,272.46,160.03,0.37,18.12,653.33,417.8,0.29,494.69,38.49
"Kashmere Gate, Delhi","Saket, Delhi",NH48,30.44,8,2,3,"Captain Gaud Marg, Kalindi Kunj Road","Choudhary Fateh Singh Marg, Akbar Road, Ring Road",Main Road,85.18,68.36,150.06,78.08,229.92,129.3,0.3,11.77,520.33,370.07,-0.09,442.41,43.029333333333334
"Daryaganj, Delhi","Tughlaqabad, Delhi",Vikas Marg,6.24,7,2,3,"Azadpur Flyover, Yusuf Sarai Market","Najafgarh Road, Boulevard Road, Anuvrat Marg",Highway,35.31,30.79,51.3,32.2,58.01,31.31,0.06,13.29,164.5,112.24,0.28,129.94,41.416
"Daryaganj, Delhi","Tughlaqabad, Delhi",Najafgarh Road,11.26,6,3,3,"Azadpur Flyover, Britannia Chowk, Rohini West Metro Station","Tilak Marg, Mathura Road, Boulevard Road",Internal Road,48.81,41.98,74.33,45.11,97.14,53.21,0.11,22.96,246.68,167.0,-0.1,188.44,44.75066666666667
"Daryaganj, Delhi","Tughlaqabad, Delhi",Mathura Road,47.32,8,3,2,"MB Road (Saket Metro to Khanpur), Lala Lajpat Rai Marg near CGO Complex, Captain Gaud Marg","Ashoka Road, Mathura Road",Highway,119.56,94.3,218.2,110.72,343.33,196.49,0.47,18.7,795.48,508.04,-0.09,622.49,42.15466666666667
"Daryaganj, Delhi","Tughlaqabad, Delhi",Mathura Road,33.02,7,3,1,"Britannia Chowk, Adchini Village, Yusuf Sarai Market",Boulevard Road,Highway,87.32,69.41,156.86,80.41,247.92,144.53,0.33,14.71,590.39,394.38,0.09,452.39,36.20133333333334
"Pitampura, Delhi","Janakpuri, Delhi",Vikas Marg,47.12,12,1,2,Rohini West Metro Station,"Shankar Road, Akbar Road",Internal Road,114.0,88.04,214.24,104.35,349.09,198.55,0.47,22.43,758.34,540.86,-0.14,612.53,36.141333333333336
"Pitampura, Delhi","Janakpuri, Delhi",Barapullah Corridor,22.85,11,2,3,"Kashmiri Gate Ring Road, Azadpur Flyover","GT Road, Akbar Road, Shankar Road",Highway,72.53,58.9,123.73,65.34,177.09,102.51,0.23,21.42,432.49,293.68,0.42,349.33,42.52333333333333
"Pitampura, Delhi","Janakpuri, Delhi",Vikas Marg,49.51,10,3,3,"Peera Garhi Chowk, MB Road (Saket Metro to Khanpur), Britannia Chowk","Dwarka Link Road, Mathura Road, Outer Ring Road",Highway,128.61,101.86,232.63,118.83,365.38,206.54,0.5,28.79,808.9,553.28,-0.35,663.37,47.300666666666665
"Pitampura, Delhi","Janakpuri, Delhi",Rohtak Road,32.63,9,2,1,"Under IIT Flyover, Yusuf Sarai Market",SSN Marg,Main Road,84.02,65.91,153.78,76.68,239.38,137.61,0.33,25.63,584.75,372.69,-0.3,450.76,33.175333333333334
"Ashok Vihar, Delhi","Khan Market, Delhi",DND Flyway,20.25,7,2,3,"Rohini West Metro Station, Adchini Village","Mathura Road, Tilak Marg, Africa Avenue Road",Highway,63.53,52.01,107.53,58.47,161.18,92.29,0.2,11.98,385.98,259.67,-0.01,299.24,42.35
"Ashok Vihar, Delhi","Khan Market, Delhi",NH48,30.91,9,3,3,"Lala Lajpat Rai Marg near CGO Complex, Rohini West Metro Station, Peera Garhi Chowk","Najafgarh Road, Boulevard Road, Choudhary Fateh Singh Marg",Main Road,90.72,73.47,157.04,83.46,235.0,133.1,0.31,26.57,562.9,358.26,0.04,425.79,46.06066666666666
"Ashok Vihar, Delhi","Khan Market, Delhi",NH48,26.94,12,3,1,"Azadpur Flyover, Adchini Village, MB Road (Saket Metro to Khanpur)",Mathura Road,Main Road,79.59,63.73,139.48,71.51,202.65,118.26,0.27,11.23,503.1,333.84,-0.11,366.18,35.796
"Ashok Vihar, Delhi","Khan Market, Delhi",Barapullah Corridor,9.26,6,4,1,"MB Road (Saket Metro to Khanpur), Dwarka Link Road, Azadpur Flyover, Ashram Chowk",Ring Road,Main Road,43.02,37.19,64.54,39.36,78.68,48.01,0.09,12.62,219.05,136.48,-0.05,163.18,37.617333333333335
"Ashok Vihar, Delhi","Khan Market, Delhi",NH44,9.59,9,1,1,Adchini Village,Choudhary Fateh Singh Marg,Internal Road,33.98,27.39,57.66,29.48,84.15,46.97,0.1,14.78,200.28,147.52,-0.16,182.9,28.639333333333333
"Shalimar Bagh, Delhi","Rajinder Nagar, Delhi",NH44,9.14,12,3,1,"Barapullah Flyover, Yusuf Sarai Market, Lala Lajpat Rai Marg near CGO Complex",GT Road,Main Road,43.75,36.77,68.03,38.14,76.11,44.2,0.09,12.14,228.88,154.89,-0.33,172.46,34.60933333333333
"Shalimar Bagh, Delhi","Rajinder Nagar, Delhi",Mathura Road,10.15,6,2,1,"Azadpur Flyover, Mukraba to Madhuban Chowk",Choudhary Fateh Singh Marg,Main Road,36.7,30.43,60.0,33.03,87.76,48.15,0.1,12.95,218.41,150.46,-0.42,172.97,31.676666666666666
"Shalimar Bagh, Delhi","Rajinder Nagar, Delhi",Vikas Marg,29.45,7,3,3,"Kalindi Kunj Road, Britannia Chowk, Under IIT Flyover","GT Road, Ashoka Road, Anuvrat Marg",Main Road,85.94,69.81,148.34,79.72,222.81,126.93,0.29,17.37,509.09,340.68,0.37,432.62,45.96333333333334
"Shalimar Bagh, Delhi","Rajinder Nagar, Delhi",Vikas Marg,31.19,10,3,2,"Yusuf Sarai Market, Rohini West Metro Station, Ashram Chowk","Ring Road, Tilak Marg",Highway,89.3,71.7,156.68,81.48,234.03,131.68,0.31,25.4,553.69,355.05,0.19,448.55,41.07933333333334
"Kashmere Gate, Delhi","Saket, Delhi",NH48,14.6,12,1,3,Dwarka Link Road,"Akbar Road, Najafgarh Road, Africa Avenue Road",Highway,52.6,42.9,87.8,46.38,121.31,68.05,0.15,26.06,275.47,180.72,0.03,224.27,38.97333333333333
"Kashmere Gate, Delhi","Saket, Delhi",Outer Ring Road,5.92,6,2,3,"Rohini West Metro Station, NH-48 Gurugram Border","Choudhary Fateh Singh Marg, Outer Ring Road, Tilak Marg",Main Road,33.75,29.59,48.59,31.1,56.32,36.63,0.06,22.41,176.37,119.51,-0.47,144.54,41.394666666666666
"Kashmere Gate, Delhi","Saket, Delhi",Mehrauli-Gurgaon Road,10.25,8,4,2,"Dwarka Link Road, Ashram Chowk, Britannia Chowk, Kashmiri Gate Ring Road","Tilak Marg, SSN Marg",Internal Road,49.18,42.45,73.68,45.22,91.09,48.15,0.1,19.02,237.63,136.83,-0.19,200.91,42.68333333333334
"Kashmere Gate, Delhi","Saket, Delhi",DND Flyway,26.88,8,2,3,"Britannia Chowk, Kashmiri Gate Ring Road","Choudhary Fateh Singh Marg, Dwarka Link Road, Tilak Marg",Highway,77.95,62.91,135.71,71.4,207.49,113.97,0.27,26.22,488.72,334.61,0.19,396.08,42.792
"Connaught Place, Delhi","Noida, Delhi",DND Flyway,32.96,6,2,2,"Peera Garhi Chowk, Mukraba to Madhuban Chowk","Mathura Road, Dwarka Link Road",Main Road,85.09,67.41,154.01,78.8,248.04,137.35,0.33,11.99,555.19,384.5,-0.4,441.71,38.19733333333333
"Connaught Place, Delhi","Noida, Delhi",Barapullah Corridor,31.52,7,4,1,"Yusuf Sarai Market, Ashram Chowk, Under IIT Flyover, Dwarka Link Road",Mathura Road,Highway,87.94,70.78,154.48,81.6,233.79,135.06,0.32,21.66,569.71,354.01,-0.25,419.12,39.10133333333333
"Connaught Place, Delhi","Noida, Delhi",Najafgarh Road,47.52,6,2,1,"Kashmiri Gate Ring Road, MB Road (Saket Metro to Khanpur)",Kanjhawala Road,Main Road,111.39,86.43,209.43,103.1,346.62,204.14,0.48,20.83,788.34,523.24,0.22,636.85,34.168
"Connaught Place, Delhi","Noida, Delhi",Mathura Road,32.58,6,3,1,"NH-48 Gurugram Border, Rohini West Metro Station, Azadpur Flyover",Najafgarh Road,Highway,85.47,67.97,153.62,79.09,239.5,144.91,0.33,16.29,545.64,379.62,-0.24,470.37,36.172
"Connaught Place, Delhi","Noida, Delhi",Rohtak Road,36.21,10,1,2,Ashram Chowk,"SSN Marg, Ring Road",Highway,91.57,71.47,168.99,82.89,269.36,155.49,0.36,26.06,642.95,421.61,-0.28,487.75,35.414
"Connaught Place, Delhi","Noida, Delhi",DND Flyway,11.54,10,4,1,"Adchini Village, Azadpur Flyover, Under IIT Flyover, NH-48 Gurugram Border",Africa Avenue Road,Highway,50.53,42.76,78.61,45.64,97.34,57.87,0.12,16.11,268.49,164.77,0.26,197.13,37.769333333333336
"Connaught Place, Delhi","Noida, Delhi",Barapullah Corridor,26.42,5,1,3,Dwarka Link Road,"Akbar Road, Aurobindo Marg, Africa Avenue Road",Internal Road,70.04,55.83,125.38,65.04,204.3,117.64,0.26,25.03,475.15,312.28,-0.36,388.71,39.76133333333333
